"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";3;"Karlovits, BA, Stefanie";1990;"Fachreferentin";52
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";4;"Wagner, Petra";1968;"Unternehmerin";102
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";5;"Stampfel, Karin";1958;"Beamtin";36
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";6;"Graf, DI Dr.  Josef";1970;"Angestellter";39
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";7;"Strobl, Paul Werner";1941;"Pensionist";5
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";8;"Adelmann, DI Herbert";1978;"Vertragsbediensteter";50
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";9;"Huck, Renate";1967;"Hörgeräteakustikerin";21
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";10;"Strobl, Franz";1967;"Offizier/Steinmetz";19
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";11;"Limbeck, Manuel";1997;"Student";19
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";12;"Molnár, Géza";1984;"Klubobmann";79
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";13;"Springinklee, Christian";1998;"Angestellter";26
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";14;"Tschürtz, Johann";1959;"Polizeibeamter";194
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 4, NEOS - Das Neue Österreich (NEOS)";1;"Bozecski, Anna";1990;"Landes-Geschäftsführerin";211
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 4, NEOS - Das Neue Österreich (NEOS)";2;"Posch, Mag. Eduard";1957;"Unternehmensberater";117
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 4, NEOS - Das Neue Österreich (NEOS)";3;"Spanitz, Lukas";1993;"Angestellter";54
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 4, NEOS - Das Neue Österreich (NEOS)";4;"Dornach, MSc, Karlheinz";1974;"IT-Manager";50
"Landeswahlkreis";"Landesparteiliste Burgenland";"Liste 5, JETZT - Liste Pilz (JETZT)";1;"Emmer, Mag. (FH) Herta";1969;"Geschäftsführerin";45
