"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";16;"Sperker, Mag. Johanna";1990;"Angestellte";72
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";17;"Trittner, Mag. Stefan";1985;"Angestellter";79
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";18;"Woschnagg, Dr. Elisabeth";1982;"Angestellte";61
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";19;"Dobcak, Peter";1960;"Gastronom";58
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";20;"Denich-Kobula, Martina";1966;"Immobilientreuhänderin";28
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";21;"Wolschner, Dr. Rainer Bernd";1986;"Arzt";99
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";22;"Feldmann, Sonja";1968;"leitende Angestellte";36
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";23;"Gorlitzer, Dr. Michael";1966;"Chirurg, Arzt";68
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";24;"Koch, Nadine";1989;"Landesgeschäftsführerin JVP Wien";73
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";25;"Holawatsch, Erol";1977;"Angestellter";30
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";26;"Pavek-Täubler, Mag. Nina";1970;"IT-Fachangestellte";15
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";27;"Lill, Markus";1966;"Angestellter";80
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";28;"Bernt, Mag. Viktoria";1989;"Rechtsanwaltsanwärterin";39
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";29;"Feldmann, Robert";1967;"selbstständiger Grafiker";42
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";30;"Ziganek, Sonja";1988;"selbstständig";17
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";31;"Zauner, Gerhard";1968;"Polizeibeamter";41
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";32;"Wyrwalska, Catherine";1989;"Angestellte";19
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";33;"Saweha, Menas";1994;"Student";502
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";34;"Falzeder, Mag. Irene";1968;"rechtskundige Bedienstete";12
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";35;"Kefer, Severin";1996;"Student";31
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";36;"Stimpfl-Abele, Mag. Gabriela";1968;"selbstständig";29
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";37;"Eisinger, Marcus";1969;"Unternehmer, Friseurmeister";12
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";38;"Ott, Elena";1992;"Landesgeschäftsführerin Wienerinnen";38
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";39;"Mühlbauer, Sebastian";1994;"Student";16
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";40;"Metzger-Rymes, Stefanie";1990;"Angestellte";5
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";41;"Maresch, Stephan";1971;"Pädagoge";32
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";42;"Haidacher-Cyganek, Jutta";1965;"Immobilientreuhänderin";10
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";43;"Maa, Andreas";1958;"Angestellter";15
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";44;"Haller, Verena";1985;"Trafikantin";19
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";45;"Wesselman Van Helmond, Franz Seraphin";1991;"Student";11
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";46;"Salomon, Anja-Therese";1993;"Studentin";21
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";47;"Farda, Josef";1994;"Student";9
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";48;"Otonicar, Mag. Dr.Anita";1981;"öffentlich Bedienstete";14
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";49;"Lhotka, Dipl.-Ing.Oskar";1947;"Pensionist";11
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";50;"Heller, Margarethe";1996;"Studentin";31
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";51;"Flick, Christoph Benedikt";1996;"Student";27
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";52;"Sachslehner, Laura";1994;"Angestellte";67
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";53;"Rasch, Thomas";1965;"Beamter";14
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";54;"Böhm, Mengfan";1997;"Studentin";8
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";55;"Kudweis, Philipp";1995;"Berufsanwärter zum Steuerberater";28
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";56;"Kaindl, Ingrid";1960;"leitende Angestellte";11
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";57;"Matkovic, Mirko";1962;"Elektrotechniker";14
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";58;"Appel, Andrea";1962;"Angestellte";12
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";59;"Wassiq, Leonhard Asib";1988;"Angestellter";5
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";60;"Zimmermann, Veronika";1958;"Bezirksrätin";37
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";61;"Holzmann, Dipl.-Ing.Lukas";1988;"Informatiker";16
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";62;"Grabner, Andrea";1993;"Angestellte";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";63;"Bankl, Dieter";1963;"Angestellter";6
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";64;"Engel, Mag. Birgit";1975;"selbstständig";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";65;"Gries, Gerhard";1966;"Beamter";9
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";66;"Karl, Helga";1944;"Pensionistin";19
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";1;"Rendi-Wagner, Dr. Joy Pamela";1971;"Abg. zum NR, SPÖ-Bundesparteivorsitzende";3746
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";2;"Bures, Doris";1962;"2. Nationalratspräsidentin";1405
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";3;"Krainer, Kai Jan";1968;"Abgeordneter zum Nationalrat";379
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";4;"Troch, Dr. Harald";1959;"Historiker";340
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";5;"Kuntzl, Mag. Andrea";1958;"Abgeordnete zum Nationalrat";105
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";6;"Matznetter, Dr. Christoph";1959;"Wirtschaftsprüfer, Steuerberater, NR-Abg";169
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";7;"Teiber, Barbara";1977;"geschäftsführende Vorsitzende GPA-djp";339
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";8;"Zich, Mag. Christoph";1978;"Parlamentarischer Mitarbeiter";231
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";9;"Duzdar, Mag. Muna";1978;"Rechtsanwältin";2992
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";10;"Hergovich, Mag. Sven";1988;"Ökonom";122
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";11;"Weninger, Katharina";1986;"Geschäftsführerin";241
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";12;"Schmid, Mag. Dr.Gerhard";1960;"Hochschulprofessor";112
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";13;"Yilmaz, Nurten";1957;"Abgeordnete zum Nationalrat";596
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";14;"Meidlinger, Ing. Christian";1963;"Nachrichtentechniker";107
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";15;"Becher, Mag. Ruth";1956;"Lehrerin";99
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";16;"Enzmann, Benjamin";1994;"Angestellter";117
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";17;"Lueger, Angela";1965;"Beamtin";120
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";18;"Beer, Sandro";1977;"Angestellter";55
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";19;"Bayr, Petra";1968;"Abgeordnete zum Nationalrat";101
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";20;"Cap, Dr. Josef";1952;"Politikwissenschafter";1021
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";21;"Herzog, Fiona";1995;"Angestellte, Studentin";290
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";22;"Müllauer, Martin";1967;"Buchhändler, Betriebsratsvorsitzender";60
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";23;"O`Brien, Claudia";1989;"Bezirksgeschäftsführerin";83
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";24;"Baxant, Petr";1977;"Abg. zum Wr. Ltg., Gemeinderat";66
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";25;"Herr, Julia Elisabeth";1992;"Angestellte";1004
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";26;"Sternfeld, Mag. Raphael";1978;"Angestellter";36
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";27;"Dubravac-Widholm, Christine";1978;"Bezirksvorsteher-Stellvertreterin";66
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";28;"Al-Rawi, Dipl.-Ing.Omar";1961;"Bauingenieur";2470
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";29;"Hanel-Torsch, Mag. Elke";1981;"Angestellte";37
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";30;"Arige, Marcus";1972;"Geschäftsführer einer Werbeagentur";32
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";31;"Schumann, Korinna";1966;"Beamtin";27
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";32;"Dvorak, Mag. Ludwig";1982;"Rechtsanwaltsanwärter";36
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";33;"Biedermann, Mag. Merja";1980;"Angestellte";32
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";34;"Prokop, Franz";1958;"Bezirksvorsteher";49
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";35;"Holzbach, Sonja";1974;"Sozialarbeiterin";45
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";36;"Wurm, Robert";1957;"Zentralbetriebsratsvorsitzender Postbus";32
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";37;"Rychly, Yvonne";1965;"Abg. zum Wr. Ltg, Gemeinderätin, Ang.";41
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";38;"Hallak, Bakri";1985;"Angestellter";60
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";39;"Wu, Elisabeth";2000;"Studentin";73
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";40;"Rudolph, Erich";1962;"leitender Angestellter";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";41;"Ngosso, Dr. Adiet";1980;"Ärztin";59
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";42;"Altenburger, Heinz";1964;"Feuerwehrmann";161
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";43;"Kubicek, Elisabeth";1963;"Betriebsrätin";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";44;"Reisenauer, Ing. Paul";1986;"Angestellter";7
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";45;"Samel, Dr. Ewa";1986;"Juristin";62
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";46;"Kniezanrek, Erich";1965;"Gemeindebediensteter";42
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";47;"Wieninger, Mag. Mag.Pia Maria";1982;"Fachreferentin";28
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";48;"Gruber, Mag. Werner";1970;"Physiker";294
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";49;"Köpf, Carina";1990;"stv. Geschäftsführerin";36
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";50;"Gruber, Helmut";1961;"ÖBB-Angestellter";36
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";51;"Köpf, Gazal";1989;"Vertragsbedienstete";35
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";52;"Lipinski, Mag. (FH) Christoph";1977;"ÖGB-Sekretär";21
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";53;"Gabrielli, Tatjana";1993;"Angestellte";48
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";54;"Stromberger, Mag. Christian";1970;"Angestellter";6
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";55;"Dumani, Ema";1991;"Angestellte";37
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";56;"Neidhart, Mag. Liliom Paul";1993;"Landessekretär SJ Wien";3
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";57;"Hanke, Marina";1990;"Abg. zum Wr. Ltg. und Gemeinderätin";78
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";58;"Onzek, Mag. Stefan";1977;"Jurist, Rechtsabteilungsleiter";12
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";59;"Miletic, Ramona-Iulia";1982;"Büroleiterin";29
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";60;"Kaske, Rudolf";1955;"Bundesrat";59
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";61;"Novak, Barbara";1976;"Abg. zum Wr. Ltg, GR, Landesparteisekr.";25
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";62;"Ringseis, Christian";1984;"Angestellter, politischer Sekretär";39
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";63;"Stern, Hannah";1997;"Studentin";44
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";64;"Freitag, Alois";1964;"Betriebsratsvorsitzender";30
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";65;"Cseri, Anna";1996;"Studentin";59
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";66;"Schieder, Mag. Andreas";1969;"Mitglied des Europäischen Parlaments";56
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";1;"Belakowitsch, Dr. Dagmar";1968;"Abgeordnete zum Nationalrat";497
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";2;"Stefan, Mag. Harald";1965;"Nationalratsabgeordneter, Notar";241
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";3;"Strache, Pia Philippa";1987;"Angestellte";1973
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";4;"Tschank, Dr. Markus";1979;"Nationalratsabgeordneter, Rechtsanwalt";100
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";5;"Matiasek, Veronika";1958;"2. Landtagspräsidentin";50
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";6;"Graf, Mag. Dr.Martin";1960;"Nationalratsabgeordneter, selbstständig";177
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";7;"Jenewein, Hans-Jörg";1974;"Bundesrat, Angestellter";99
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";8;"Berger, Ricarda";1986;"Nationalratsabgeordnete";57
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";9;"Lintl, Dr. Jessi";1956;"Nationalratsabgeordnete";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";10;"Steger, Petra";1987;"Nationalratsabgeordnete";253
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";11;"Fuchs, Mag. Mag. Dr. Dr.Hubert";1969;"Nationalratsabgeordneter, Steuerberater";68
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";12;"Krauss, Maximilian";1993;"Stadtrat";107
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";13;"Vilimsky, Harald";1966;"Mitglied des Europäischen Parlaments";514
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";14;"Stumpf, Michael";1988;"Abgeordneter zum Landtag, Angestellter";32
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";15;"Schweiger-Stenzel, Ursula";1945;"Stadträtin";114
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";16;"Mahdalik, Anton";1966;"Abgeordneter zum Landtag, Angestellter";71
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";17;"Mühlwerth, Monika";1954;"Bundesrätin";12
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";18;"Kohlbauer, Leo";1987;"Abgeordneter zum Landtag, Angestellter";58
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";19;"Schmidt, Elisabeth";1974;"Abgeordnete zum Landtag";10
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";20;"Schütz, Angela";1964;"Abgeordnete zum Landtag, Angestellte";34
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";21;"Nittmann, Mag. Ulrike";1969;"Stadträtin, Rechtsanwältin";24
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";22;"Wansch, Mag. Dr.Alfred";1960;"Abgeordneter zum Landtag, Rechtsanwalt";15
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";23;"Frühmesser, Lisa";1992;"Abgeordnete zum Landtag, Studentin";33
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";24;"Blind, Armin";1975;"Abgeordneter zum Landtag, Beamter";26
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";25;"Kasal, Günter";1966;"Abgeordneter zum Landtag, Beamter";30
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";26;"Irschik, Wolfgang";1959;"Abgeordneter zum Landtag, Beamter";33
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";27;"Haslinger, Gerhard";1963;"Abgeordneter zum Landtag, Beamter";27
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";28;"Guggenbichler, Ing. Udo";1974;"Abgeordneter zum Landtag, Sicherheitsfac";35
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";29;"Niegl, Michael";1967;"Abgeordneter zum Landtag, Beamter";29
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";30;"Kops, Dietrich";1964;"Abgeordneter zum Landtag, Gewerbetreiben";19
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";31;"Unger, Christian Paul";1972;"Abgeordneter zum Landtag";8
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";32;"Kowarik, Mag. Dietbert";1974;"Abgeordneter zum Landtag";38
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";33;"Strasser, Alfred";1953;"Bautechniker";10
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";34;"Planner, Lothar";1971;"Manager";8
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";35;"Bertassi, Yves";1987;"Angestellter";21
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";36;"Lichtenhofer, Mag. Romona";1984;"Juristin";11
"Landeswahlkreis";"Landesparteiliste Wien";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";37;"Müller, Dr. Mathias";1968;"Kunsthistoriker";8
